"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"November"	"11"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"November"	"11"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"November"	"11"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"November"	"11"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"November"	"11"	"23 weeks"	"23"	11
	"2007"	"2007"	"November"	"11"	"24 weeks"	"24"	17
	"2007"	"2007"	"November"	"11"	"25 weeks"	"25"	26
	"2007"	"2007"	"November"	"11"	"26 weeks"	"26"	21
	"2007"	"2007"	"November"	"11"	"27 weeks"	"27"	29
	"2007"	"2007"	"November"	"11"	"28 weeks"	"28"	29
	"2007"	"2007"	"November"	"11"	"29 weeks"	"29"	47
	"2007"	"2007"	"November"	"11"	"30 weeks"	"30"	74
	"2007"	"2007"	"November"	"11"	"31 weeks"	"31"	88
	"2007"	"2007"	"November"	"11"	"32 weeks"	"32"	107
	"2007"	"2007"	"November"	"11"	"33 weeks"	"33"	134
	"2007"	"2007"	"November"	"11"	"34 weeks"	"34"	252
	"2007"	"2007"	"November"	"11"	"35 weeks"	"35"	435
	"2007"	"2007"	"November"	"11"	"36 weeks"	"36"	836
	"2007"	"2007"	"November"	"11"	"37 weeks"	"37"	1569
	"2007"	"2007"	"November"	"11"	"38 weeks"	"38"	3532
	"2007"	"2007"	"November"	"11"	"39 weeks"	"39"	5293
	"2007"	"2007"	"November"	"11"	"40 weeks"	"40"	4309
	"2007"	"2007"	"November"	"11"	"41 weeks"	"41"	2096
	"2007"	"2007"	"November"	"11"	"42 weeks"	"42"	636
	"2007"	"2007"	"November"	"11"	"43 weeks"	"43"	300
	"2007"	"2007"	"November"	"11"	"44 weeks"	"44"	170
	"2007"	"2007"	"November"	"11"	"45 weeks"	"45"	73
	"2007"	"2007"	"November"	"11"	"46 weeks"	"46"	28
	"2007"	"2007"	"November"	"11"	"47 weeks"	"47"	13
	"2007"	"2007"	"November"	"11"	"Unknown or Not Stated"	"99"	17
"Total"	"2007"	"2007"	"November"	"11"			20162
	"2007"	"2007"	"December"	"12"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"December"	"12"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"December"	"12"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"December"	"12"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"December"	"12"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"December"	"12"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"December"	"12"	"23 weeks"	"23"	Suppressed
	"2007"	"2007"	"December"	"12"	"24 weeks"	"24"	21
	"2007"	"2007"	"December"	"12"	"25 weeks"	"25"	29
	"2007"	"2007"	"December"	"12"	"26 weeks"	"26"	26
	"2007"	"2007"	"December"	"12"	"27 weeks"	"27"	28
	"2007"	"2007"	"December"	"12"	"28 weeks"	"28"	52
	"2007"	"2007"	"December"	"12"	"29 weeks"	"29"	64
	"2007"	"2007"	"December"	"12"	"30 weeks"	"30"	64
	"2007"	"2007"	"December"	"12"	"31 weeks"	"31"	79
	"2007"	"2007"	"December"	"12"	"32 weeks"	"32"	125
	"2007"	"2007"	"December"	"12"	"33 weeks"	"33"	189
	"2007"	"2007"	"December"	"12"	"34 weeks"	"34"	268
	"2007"	"2007"	"December"	"12"	"35 weeks"	"35"	421
	"2007"	"2007"	"December"	"12"	"36 weeks"	"36"	763
	"2007"	"2007"	"December"	"12"	"37 weeks"	"37"	1552
	"2007"	"2007"	"December"	"12"	"38 weeks"	"38"	3253
	"2007"	"2007"	"December"	"12"	"39 weeks"	"39"	5034
	"2007"	"2007"	"December"	"12"	"40 weeks"	"40"	4451
	"2007"	"2007"	"December"	"12"	"41 weeks"	"41"	2038
	"2007"	"2007"	"December"	"12"	"42 weeks"	"42"	653
